# This is a transfer function data file in the "Plain" format
# Comments are ignored
# The titles should be on a comment line, and contain no spaces
# Wavenumbers k are in 1/Mpc
# Transfer functions are in the CAMB/CMBFAST/Eisenstein-Hu format,
# and differ by a factor -1/k^2 from CLASS.

# k d_g d_b d_cdm d_ur d_ncdm[0] d_ncdm[1] d_ncdm[2] d_tot d_cb phi psi h h_prime eta eta_prime H_T_Nb_prime k2gamma_Nb t_g t_b t_cdm t_cb t_ur t_ncdm[0] t_ncdm[1] t_ncdm[2] t_tot
 7.174692E-06 7.737659E+05 5.803317E+05 5.803317E+05 7.737654E+05 5.831134E+05 5.831134E+05 5.831134E+05 5.817623E+05 5.803411E+05 -1.173325E+10 -1.164675E+10 -1.160663E+06 -9.750798E+02 -1.942644E+10 2.893167E+00 -8.475551E+00 2.556700E-03 -4.873229E+02 -4.873360E+02 -4.873360E+02 -9.661965E+02 -4.873226E+02 -4.873354E+02 -4.873354E+02 -4.873354E+02 -4.873359E+02
 1.588858E-05 7.737266E+05 5.803308E+05 5.803309E+05 7.737243E+05 5.831091E+05 5.831091E+05 5.831091E+05 5.817610E+05 5.803402E+05 -2.392509E+09 -2.374873E+09 -1.160662E+06 -9.750777E+02 -3.961219E+09 2.893067E+00 -8.475080E+00 2.556614E-03 -4.872705E+02 -4.873347E+02 -4.873347E+02 -9.661944E+02 -4.872688E+02 -4.873317E+02 -4.873317E+02 -4.873317E+02 -4.873340E+02
 2.463347E-05 7.736574E+05 5.803292E+05 5.803293E+05 7.736518E+05 5.831014E+05 5.831014E+05 5.831014E+05 5.817587E+05 5.803387E+05 -9.953375E+08 -9.880012E+08 -1.160659E+06 -9.750740E+02 -1.647957E+09 2.892909E+00 -8.474250E+00 2.556462E-03 -4.871782E+02 -4.873325E+02 -4.873325E+02 -9.661908E+02 -4.871741E+02 -4.873253E+02 -4.873253E+02 -4.873253E+02 -4.873308E+02
 3.343297E-05 7.735575E+05 5.803269E+05 5.803271E+05 7.735472E+05 5.830903E+05 5.830903E+05 5.830903E+05 5.817555E+05 5.803365E+05 -5.403421E+08 -5.363601E+08 -1.160654E+06 -9.750687E+02 -8.946326E+08 2.892682E+00 -8.473054E+00 2.556244E-03 -4.870451E+02 -4.873293E+02 -4.873294E+02 -9.661857E+02 -4.870376E+02 -4.873160E+02 -4.873160E+02 -4.873160E+02 -4.873262E+02
 4.231107E-05 7.734262E+05 5.803239E+05 5.803242E+05 7.734097E+05 5.830757E+05 5.830757E+05 5.830757E+05 5.817512E+05 5.803336E+05 -3.373705E+08 -3.348848E+08 -1.160648E+06 -9.750617E+02 -5.585776E+08 2.892383E+00 -8.471479E+00 2.555956E-03 -4.868700E+02 -4.873251E+02 -4.873252E+02 -9.661789E+02 -4.868580E+02 -4.873038E+02 -4.873038E+02 -4.873038E+02 -4.873201E+02
 5.129236E-05 7.732620E+05 5.803201E+05 5.803206E+05 7.732378E+05 5.830575E+05 5.830575E+05 5.830575E+05 5.817458E+05 5.803299E+05 -2.295647E+08 -2.278738E+08 -1.160641E+06 -9.750529E+02 -3.800863E+08 2.892009E+00 -8.469510E+00 2.555596E-03 -4.866511E+02 -4.873199E+02 -4.873199E+02 -9.661704E+02 -4.866335E+02 -4.872885E+02 -4.872885E+02 -4.872885E+02 -4.873125E+02
 6.040226E-05 7.730633E+05 5.803155E+05 5.803162E+05 7.730297E+05 5.830355E+05 5.830355E+05 5.830355E+05 5.817393E+05 5.803255E+05 -1.655383E+08 -1.643194E+08 -1.160632E+06 -9.750423E+02 -2.740794E+08 2.891557E+00 -8.467129E+00 2.555161E-03 -4.863862E+02 -4.873135E+02 -4.873136E+02 -9.661601E+02 -4.863619E+02 -4.872701E+02 -4.872701E+02 -4.872701E+02 -4.873034E+02
 6.966728E-05 7.728280E+05 5.803100E+05 5.803110E+05 7.727834E+05 5.830093E+05 5.830093E+05 5.830093E+05 5.817316E+05 5.803202E+05 -1.244344E+08 -1.235185E+08 -1.160622E+06 -9.750297E+02 -2.060248E+08 2.891021E+00 -8.464309E+00 2.554646E-03 -4.860726E+02 -4.873060E+02 -4.873061E+02 -9.661479E+02 -4.860403E+02 -4.872482E+02 -4.872482E+02 -4.872482E+02 -4.872925E+02
 7.911519E-05 7.725536E+05 5.803037E+05 5.803049E+05 7.724961E+05 5.829789E+05 5.829789E+05 5.829789E+05 5.817226E+05 5.803141E+05 -9.648744E+07 -9.577757E+07 -1.160610E+06 -9.750151E+02 -1.597536E+08 2.890396E+00 -8.461020E+00 2.554045E-03 -4.857070E+02 -4.872972E+02 -4.872974E+02 -9.661337E+02 -4.856653E+02 -4.872227E+02 -4.872227E+02 -4.872227E+02 -4.872798E+02
 8.877536E-05 7.722372E+05 5.802964E+05 5.802979E+05 7.721649E+05 5.829437E+05 5.829437E+05 5.829437E+05 5.817123E+05 5.803071E+05 -7.662963E+07 -7.606616E+07 -1.160596E+06 -9.749982E+02 -1.268756E+08 2.889684E+00 -8.457227E+00 2.553351E-03 -4.852854E+02 -4.872871E+02 -4.872873E+02 -9.661173E+02 -4.852330E+02 -4.871932E+02 -4.871932E+02 -4.871932E+02 -4.872651E+02
